Date,Shiller P/E,S&P 500 Closing Price,Equity Allocation
1980-04-01,7.84,102.09,0.25536
1980-07-01,8.88,114.24,0.27304
1980-10-01,9.36,125.46,0.28670
1981-01-01,9.26,135.76,0.28395
1981-04-01,9.09,136,0.27491
1981-07-01,8.45,131.21,0.24257
1981-10-01,7.65,116.18,0.25134
1982-01-01,7.39,122.55,0.22690
1982-04-01,7.26,111.96,0.21878
1982-07-01,6.64,109.61,0.23082
1982-10-01,8,120.42,0.25602
1983-01-01,8.76,140.64,0.27042
1983-04-01,9.53,152.96,0.28767
1983-07-01,10.01,168.11,0.27763
1983-10-01,10,166.07,0.26738
1984-01-01,9.89,164.93,0.24859
1984-04-01,9.31,159.18,0.23211
1984-07-01,8.87,153.18,0.23866
1984-10-01,9.6,166.1,0.23521
1985-01-01,10,167.24,0.24224
1985-04-01,10.4,180.66,0.24636
1985-07-01,11,191.85,0.22866
1985-10-01,10.55,182.08,0.24942
1986-01-01,11.72,211.28,0.26822
1986-04-01,13.55,238.9,0.27042
1986-07-01,13.62,250.84,0.24619
1986-10-01,13.43,231.32,0.25772
1987-01-01,14.92,242.17,0.29026
1987-04-01,16.2,291.7,0.28933
1987-07-01,17.31,304,0.29523
1987-10-01,15.53,321.83,0.24210
1988-01-01,13.9,247.08,0.24868
1988-04-01,14.43,258.8899,0.25299
1988-07-01,14.61,273.5,0.24699
1988-10-01,14.81,271.9099,0.24742
1989-01-01,15.09,277.72,0.25283
1989-04-01,15.69,294.8699,0.26191
1989-07-01,17.01,317.98,0.27343
1989-10-01,17.64,349.1499,0.27222
1990-01-01,17.05,353.3999,0.25857
1990-04-01,16.81,339.94,0.26266
1990-07-01,17.75,358.0198,0.22730
1990-10-01,14.82,306.0498,0.24280
1991-01-01,15.61,330.22,0.26812
1991-04-01,18.16,375.22,0.26432
1991-07-01,18.1,371.1599,0.27278
1991-10-01,18.35,387.8599,0.29421
1992-01-01,19.77,417.0898,0.28833
1992-04-01,19.3,403.6899,0.28487
1992-07-01,19.62,408.1399,0.28713
1992-10-01,19.37,417.7998,0.30648
1993-01-01,20.32,435.71,0.31175
1993-04-01,20.46,451.6699,0.30878
1993-07-01,20.56,450.5298,0.31270
1993-10-01,21.11,458.9299,0.31707
1994-01-01,21.41,466.45,0.30562
1994-04-01,20.05,445.7698,0.29989
1994-07-01,20.07,444.2698,0.30658
1994-10-01,20.39,462.6899,0.30372
1995-01-01,20.22,459.2698,0.31781
1995-04-01,21.64,500.71,0.33154
1995-07-01,23.37,544.75,0.34652
1995-10-01,23.93,584.4099,0.35763
1996-01-01,24.76,615.9299,0.36476
1996-04-01,25.42,645.5,0.37007
1996-07-01,24.86,670.6299,0.37154
1996-10-01,26.48,687.3098,0.38542
1997-01-01,28.33,740.74,0.38323
1997-04-01,27.58,757.1199,0.41616
1997-07-01,32.76,885.1399,0.43487
1997-10-01,32.9,947.2798,0.43542
1998-01-01,32.86,970.4299,0.46199
1998-04-01,37.27,1101.75,0.46265
1998-07-01,38.26,1133.84,0.42846
1998-10-01,33.77,1017.01,0.46907
1999-01-01,40.57,1229.23,0.47235
1999-04-01,42.7,1286.37,0.48957
1999-07-01,43.83,1372.71,0.46934
1999-10-01,40.55,1282.71,0.51140
2000-01-01,43.77,1469.25,0.52076
2000-04-01,43.53,1498.58,0.50737
2000-07-01,42.75,1454.6,0.50641
2000-10-01,39.37,1436.51,0.47644
2001-01-01,36.98,1320.28,0.44186
2001-04-01,32.17,1160.33,0.45812
2001-07-01,32.16,1224.42,0.41285
2001-10-01,28.58,1040.94,0.43824
2002-01-01,30.28,1148.08,0.43760
2002-04-01,29.01,1147.39,0.40292
2002-07-01,23.46,989.82,0.35739
2002-10-01,21.96,815.28,0.36826
2003-01-01,22.9,879.82,0.35676
2003-04-01,22.43,848.18,0.38424
2003-07-01,24.87,974.5,0.38895
2003-10-01,25.68,995.97,0.40915
2004-01-01,27.66,1111.92,0.40415
2004-04-01,26.9,1126.21,0.40101
2004-07-01,25.7,1140.84,0.39172
2004-10-01,25.41,1114.58,0.40961
2005-01-01,26.59,1211.92,0.40150
2005-04-01,25.41,1180.59,0.40168
2005-07-01,26.29,1191.33,0.40513
2005-10-01,24.88,1228.81,0.40353
2006-01-01,26.47,1248.29,0.41233
2006-04-01,26.15,1294.83,0.39945
2006-07-01,24.7,1270.2,0.40290
2006-10-01,26.54,1335.85,0.41258
2007-01-01,27.21,1418.3,0.41395
2007-04-01,26.98,1420.86,0.41970
2007-07-01,27.41,1503.35,0.41474
2007-10-01,27.32,1526.75,0.39858
2008-01-01,24.02,1468.36,0.37258
2008-04-01,23.36,1322.7,0.36554
2008-07-01,20.91,1280,0.34173
2008-10-01,16.39,1166.36,0.29102
2009-01-01,15.17,903.25,0.26377
2009-04-01,14.98,797.87,0.29049
2009-07-01,16.69,919.32,0.32017
2009-10-01,19.36,1057.08,0.32841
2010-01-01,20.53,1115.1,0.33584
2010-04-01,21.8,1169.43,0.30938
2010-07-01,19.67,1030.71,0.32777
2010-10-01,21.24,1141.2,0.34889
2011-01-01,22.98,1257.64,0.36024
2011-04-01,23.14,1325.83,0.35620
2011-07-01,22.61,1320.64,0.31638
2011-10-01,20.16,1131.42,0.33543
2012-01-01,21.21,1257.6,0.35977
2012-04-01,21.78,1408.47,0.34877
2012-07-01,21,1362.16,0.35724
2012-10-01,21.58,1440.67,0.35376
2013-01-01,21.9,1426.19,0.37669
2013-04-01,22.6,1569.19,0.38051
2013-07-01,23.49,1606.28,0.39090
2013-10-01,23.83,1681.55,0.40813
2014-01-01,24.86,1848.36,0.41104
2014-04-01,24.79,1872.34,0.41822
2014-07-01,25.82,1960.23,0.41462
2014-10-01,25.16,1972.29,0.42328
2015-01-01,26.49,2058.9,0.42408
2015-04-01,26.79,2067.89,0.41910
2015-07-01,26.38,2063.11,0.39803
2015-10-01,25.49,1920.03,0.40625
2016-01-01,24.21,2043.94,0.40243
2016-04-01,25.92,2059.74,0.40432
2016-07-01,26.69,2098.86,0.41058
2016-10-01,26.53,2168.27,0.41749
2017-01-01,28.06,2238.83,0.42657
2017-04-01,28.9,2362.72,0.42908
2017-07-01,30,2423.41,0.43483
2017-10-01,30.92,2519.36,0.44579
2018-01-01,33.31,2673.61,0.43843
2018-04-01,30.97,2640.87,0.44441
2018-07-01,31.89,2718.37,0.45506
2018-10-01,31.04,2913.98,0.41024
2019-01-01,28.41,2506.85,0.43646
2019-04-01,30.13,2834.4,0.44868
2019-07-01,29.99,2941.76,0.44582
2019-10-01,28.84,2976.74,0.46118
2020-01-01,30.99,3230.78,0.39830
2020-04-01,25.93,2584.59,0.43052
2020-07-01,29.6,3100.29,0.44808
2020-10-01,31.28,3363,0.47624
2021-01-01,34.51,3756.07,
2021-04-01,36.61,3972.89,
